"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Game/Fab/Megascans/Decals/Oily_Rag_piokavp2/Medium/T_piokavp2_2K_B-O_Mat.T_piokavp2_2K_B-O_Mat","0","40","42","1","46.697392","0","42"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","0","0","2","1","0.000000","0","0"
"/MeshModelingToolset/Materials/M_DynamicMeshComponentVtxColor.M_DynamicMeshComponentVtxColor","0","0","18","1","0.000000","0","0"
"/ControlRig/Controls/ControlRigXRayMaterial.ControlRigXRayMaterial","0","0","9","1","0.000000","0","0"
"/Engine/EditorMaterials/PhAT_UnselectedMaterial.PhAT_UnselectedMaterial","0","0","3","1","0.000000","0","0"
"/Engine/EditorMaterials/PhAT_NoCollisionMaterial.PhAT_NoCollisionMaterial","0","0","3","1","0.000000","0","0"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","0","0","6","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","0","0","5","1","0.000000","0","0"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","0","0","2","1","0.000000","0","0"
"/Engine/EngineMaterials/NaniteHiddenSectionMaterial.NaniteHiddenSectionMaterial","0","0","27","1","0.000000","0","0"
"/Engine/EditorMaterials/Dataflow/DataflowTwoSidedVertexMaterial.DataflowTwoSidedVertexMaterial","0","0","32","1","0.000000","0","0"
"/Engine/EditorMaterials/Dataflow/DataflowVertexMaterial.DataflowVertexMaterial","0","0","24","1","0.000000","0","0"
"/Engine/BasicShapes/BasicShapeMaterial.BasicShapeMaterial","0","0","63","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","0","6","1","0.000000","0","0"
"/HairStrands/Materials/HairCardsDefaultMaterial.HairCardsDefaultMaterial","0","0","98","1","0.000000","0","0"
"/HairStrands/Materials/HairDefaultMaterial.HairDefaultMaterial","0","0","63","1","0.000000","0","0"
"/Engine/EditorLandscapeResources/SplineEditorMeshMat.SplineEditorMeshMat","0","0","12","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","0","0","3","1","0.000000","0","0"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","0","0","24","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","0","3","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Main.Main","0","0","3","1","0.000000","0","0"
"/HairStrands/Materials/HairMeshesDefaultMaterial.HairMeshesDefaultMaterial","0","0","63","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","0","12","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","0","17","1","0.000000","0","0"
"/Engine/EngineMaterials/FlattenMaterial.FlattenMaterial","0","0","54","1","0.000000","0","0"
"/Engine/EngineMaterials/FlattenMaterial_WS_Normal_VT.FlattenMaterial_WS_Normal_VT","0","0","33","1","0.000000","0","0"
"/Engine/EngineMaterials/FlattenMaterial_VT.FlattenMaterial_VT","0","0","33","1","0.000000","0","0"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","0","0","24","1","0.000000","0","0"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","0","0","10","1","0.000000","0","0"
"/Game/Dresses/Black_Red/Red.Red","0","0","21","1","0.000000","0","0"
"/Game/Assets/SellfCheckOut/StaticMeshes/White.White","0","0","21","1","0.000000","0","0"
"/Game/StarterContent/Materials/M_Glass.M_Glass","0","0","29","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","0","0","5","1","0.000000","0","0"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","0","0","9","1","0.000000","0","0"
"/ControlRig/M_Manip.M_Manip","0","0","9","1","0.000000","0","0"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","0","0","46","2","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","0","0","2","1","0.000000","0","0"
"/OpenXR/Devices/M_XRController.M_XRController","0","0","36","3","0.000000","0","60"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","0","50","6","0.000000","0","3"
"/HairStrands/Materials/HairDebugMaterial.HairDebugMaterial","0","0","98","1","0.000000","0","0"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","0","0","100","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","0","0","7","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","0","0","87","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","0","0","123","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","0","0","29","1","0.000000","0","0"
"/AudioWidgets/AudioMaterialSlate/M_AudioMaterialToggleButton.M_AudioMaterialToggleButton","0","0","13","1","0.000000","0","0"
"/Engine/VREditor/SnapGrid/SnapGridMaterial.SnapGridMaterial","0","0","10","1","0.000000","0","0"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","0","0","721","1","0.000000","0","0"
"/AudioWidgets/AudioMaterialSlate/M_AudioMaterialMeter.M_AudioMaterialMeter","0","0","13","1","0.000000","0","0"
"/AudioWidgets/AudioMaterialSlate/M_AudioMaterialRoundedSlider.M_AudioMaterialRoundedSlider","0","0","27","1","0.000000","0","0"
"/AudioWidgets/AudioMaterialSlate/M_AudioMaterialEnvelope_ADSR.M_AudioMaterialEnvelope_ADSR","0","0","27","1","0.000000","0","0"
"/AudioWidgets/AudioMaterialSlate/M_AudioMaterialKnob.M_AudioMaterialKnob","0","0","13","1","0.000000","0","0"
"/Game/Global/Materials/M_Button.M_Button","0","0","21","1","0.000000","0","0"
"/Game/VRTemplate/Materials/DefaultRibbonMaterial_NoGradient.DefaultRibbonMaterial_NoGradient","0","0","15","1","0.000000","0","0"
"/Game/VRTemplate/Materials/M_VRCursor.M_VRCursor","0","0","2","1","0.000000","0","0"
"/Engine/VREditor/Devices/Generic/GenericHMDMaterial.GenericHMDMaterial","0","0","12","1","0.000000","0","0"
"/Game/Global/Materials/M_Button_Emissive.M_Button_Emissive","0","0","2","1","0.000000","0","0"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","0","0","5","1","0.000000","0","0"
"/Game/Assets/SellfCheckOut/StaticMeshes/White_Plastic.White_Plastic","0","0","12","1","0.000000","0","0"
"/Game/Assets/SellfCheckOut/StaticMeshes/Black_plastic.Black_plastic","0","0","21","1","0.000000","0","0"
"/Game/Assets/Shops/VintageShop/Mirror/StaticMeshes/VintageShopPainting2_Mat.VintageShopPainting2_Mat","0","0","29","1","0.000000","0","0"
"/USDCore/Materials/DisplayColor.DisplayColor","0","0","48","1","0.000000","0","0"
"/Game/Assets/Shops/FastFashion/M_Blackrick_001.M_Blackrick_001","0","0","21","1","0.000000","0","0"
"/Game/Assets/Shops/OrganicShop/StaticMeshes/M_Blackrick.M_Blackrick","0","0","12","1","0.000000","0","0"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","0","0","17","1","0.000000","0","0"
"/Game/Dresses/BlackBackless/SilkBrown.SilkBrown","0","0","33","1","0.000000","0","0"
"/Game/Dresses/BlackBackless/defaultMat10.defaultMat10","0","0","27","1","0.000000","0","0"
"/Game/Dresses/Flowe_Dress/FABRIC_1_FRONT_1472.FABRIC_1_FRONT_1472","0","0","45","1","0.000000","0","0"
"/Game/Dresses/Flowe_Dress/FABRIC_2_FRONT_2620.FABRIC_2_FRONT_2620","0","0","45","1","0.000000","0","0"
"/Game/Assets/PlaticDisplayDressInfo/Material_001.Material_001","0","0","21","1","0.000000","0","0"
"/Game/Dresses/TopSkirt/FABRIC_1_FRONT_27641.FABRIC_1_FRONT_27641","0","0","33","1","0.000000","0","0"
"/Game/Dresses/BlackBackless/FABRIC_2_FRONT_100522.FABRIC_2_FRONT_100522","0","0","33","1","0.000000","0","0"
"/Game/Assets/Shops/LuxuryShop/StaticMeshes/M_Blackrick.M_Blackrick","0","0","12","1","0.000000","0","0"
"/Game/Assets/PlaticDisplayDressInfo/Material.Material","0","0","21","1","0.000000","0","0"
"/Game/Assets/Shops/VintageShop/StaticMeshes/M_Blackrick.M_Blackrick","0","0","21","1","0.000000","0","0"
"/Game/Assets/Shops/RentADress/StaticMeshes/M_Blackrick.M_Blackrick","0","0","12","1","0.000000","0","0"
"/Game/Dresses/Burgendy_Leather_Dress/FABRIC_2_FRONT_100522.FABRIC_2_FRONT_100522","0","0","33","1","0.000000","0","0"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","0","0","5","1","0.000000","0","0"
"/Game/Assets/Shops/VintageShop/Mirror/StaticMeshes/VintageShopPainting4_Mat.VintageShopPainting4_Mat","0","0","12","1","0.000000","0","0"
"/Engine/EngineSky/M_Sky_Panning_Clouds2.M_Sky_Panning_Clouds2","0","0","2","1","0.000000","0","0"
"/Game/Dresses/ParrotDresss/FABRIC_2_FRONT_11278.FABRIC_2_FRONT_11278","0","0","33","1","0.000000","0","0"
"/Game/Dresses/ParrotDresss/FABRIC_3_FRONT_2965757.FABRIC_3_FRONT_2965757","0","0","33","1","0.000000","0","0"
"/Game/Dresses/Hanger/Material9752.Material9752","0","0","21","1","0.000000","0","0"
"/Game/Dresses/Hanger/Material9755.Material9755","0","0","21","1","0.000000","0","0"
"/Game/Dresses/LilysDress_Still/Rib_1X1_486gsm_FRONT_27208113.Rib_1X1_486gsm_FRONT_27208113","0","0","45","1","0.000000","0","0"
